,article_name,country,revision_id,article_quality,population
430,Yusuf Lule,Uganda,797449179,Start,44.1
431,Miria Obote,Uganda,797874277,Stub,44.1
432,Grace Akello,Uganda,798483499,Start,44.1
433,Joyce Moriku,Uganda,798506935,Start,44.1
434,David Karubanga,Uganda,799178559,Stub,44.1
435,Peter Takirambudde,Uganda,799513148,Stub,44.1
436,Mustafa Adrisi,Uganda,799651351,Stub,44.1
437,Rose Namayanja,Uganda,800003733,C,44.1
438,Timeline of Kampala,Uganda,800090136,C,44.1
439,Dora Byamukama,Uganda,800350710,Stub,44.1
440,Kirya Balaki Kebba,Uganda,800452152,C,44.1
441,Ismail Ogama,Uganda,800595514,Stub,44.1
442,Kassiano Wadri,Uganda,800595577,Stub,44.1
443,Abraham Waligo,Uganda,800900766,Stub,44.1
444,Rebecca Kadaga,Uganda,800965489,Start,44.1
445,Emma Boona,Uganda,801577218,C,44.1
446,Augustine Nshimye,Uganda,801836959,Start,44.1
447,Ibrahim Ssemujju Nganda,Uganda,801874546,Start,44.1
448,Paulo Muwanga,Uganda,802211455,Start,44.1
449,Christopher Kibanzanga,Uganda,802286792,Start,44.1
450,Ezekiel Tenywa Wako of Busoga,Uganda,802517620,Stub,44.1
451,Robert Kyagulanyi Ssentamu,Uganda,802822017,C,44.1
452,Mariam Najjemba,Uganda,802972400,Start,44.1
453,Bernadette Olowo,Uganda,803360897,Stub,44.1
454,Monica Azuba Ntege,Uganda,803417110,Start,44.1
455,Benna Namugwanya,Uganda,804317144,Start,44.1
456,Dorothy Hyuha,Uganda,804643751,Start,44.1
457,Sam Cheptoris,Uganda,804781815,Start,44.1
458,Betty Oyella Bigombe,Uganda,804829931,C,44.1
459,Muwenda Mutebi II of Buganda,Uganda,804856220,C,44.1
460,Nabilah Naggayi Sempala,Uganda,804883827,Start,44.1
